"job","firm","functional_area","type"
"Cyber Security Consultant - Manager","ThreeTwoFour","Project Management","Job"
"Senior DevOps Specialist","Valcon","Software","Job"
"Contracts Manager","Panoptic Consultancy Group","Project Management","Job"
"Director, Research Practice","Yonder Consulting","Strategy","Job"
"Senior Consultant, Mergers & Acquisitions","West Monroe","Mergers & Acquisitions","Job"
"Senior Project Manager - Life Sciences","Genioo","Project Management","Job"
"Cyber Security Consultant","BearingPoint","Cyber Security","Job"
"Director - ER&D Strategy & Transformation (Discrete/ Process industries)","Capgemini Invent","Strategy","Job"
"Senior Consultant Treasury Technology","Zanders","Corporate Finance","Job"
"PH-4806; Senior Back End Developers","B2E Consulting","Unknown","Job"
"Senior Consultant - Cyber Security","ThreeTwoFour","Cyber Security","Job"
"Managing Consultant - Networks/Telecoms","PA Consulting","Unknown","Job"
"Customer Experience Specialist","Digital Power","CRM","Job"
"Management Consultants: All levels","Ayming","Change Management","Job"
"Deals | Forensic Accounting - Senior Manager","PwC","Forensic & Litigation","Job"
"Data Engineer","Valcon","Data Science","Job"
"Transactions Tax, Senior Consultant","FTI Consulting","Management","Job"
"MM-4817; Business Analysts, Fixed Voice IMS & Mobile","B2E Consulting","Mobile & Apps","Job"
"Tax Depreciation, Senior Consultant","FTI Consulting","Finance","Job"
"Vice President Client Services - Life Sciences","Genioo","Strategy","Job"
"Consultant Data Governance & Data Quality","Valcon","Data Science","Job"
"Accounts Receivable Specialist","Yonder Consulting","Finance","Job"
"Cyber Security Analyst","ThreeTwoFour","Risk & Compliance","Job"
"Director - Energy Transition","Capgemini Invent","Unknown","Job"
"Data Analyst","Digital Power","Data Science","Job"
"Lead Technical Reviewer","PA Consulting","Unknown","Job"
"Manager | Portfolio & Programme Management | Advisory | Dublin/Cork","PwC","Management","Job"
"Senior Business Development Manager","Ayming","Sales","Job"
"Director Client Services - Life Sciences","Genioo","Strategy","Job"
"Customer Analytics Senior Manager | Advisory | Dublin/Cork","PwC","Data Science","Job"
"Wireless Technology Intellectual Property (IP) Specialist","PA Consulting","Property Management","Job"
"Identitiy & Access Management Project Manager","ThreeTwoFour","Project Management","Job"
"Cloud Operating Model - Managing Consultant / Senior Manager (London/Manchester/Glasgow)","Capgemini Invent","Cloud","Job"
"Transactions Tax, Senior Director","FTI Consulting","Unknown","Job"
"Senior Data Principal","Valcon","Project Management","Job"
"PH-4804; Test Automation Manager, Python / Azure","B2E Consulting","Unknown","Job"
"Business Development Director","Yonder Consulting","Sales","Job"
"Associate Director, Research Practice","Yonder Consulting","Strategy","Job"
"Cloud Economics - Managing Consultant / Senior Manager (London/Manchester/Glasgow)","Capgemini Invent","Cloud","Job"
"Consultant - Valuations, Disputes and Arbitration | Economic and Financial Consulting","FTI Consulting","Unknown","Job"
"Business Analytics Engineer","Valcon","Data Science","Job"
"Cyber Security Consultant | Cyber Consulting | Dublin or Cork","PwC","Cyber Security","Job"
"PH-4779; German Speaking PMO Consultant","B2E Consulting","Unknown","Job"
"GCP Cloud Engineer","PA Consulting","Cloud","Job"
"Associate Director, Consulting Practice","Yonder Consulting","Strategy","Job"
"RE-4803; Procurement Consultant with SC Clearance","B2E Consulting","Procurement","Job"
"Cloud Strategy - Managing Consultant / Senior Manager (London/Manchester/Glasgow)","Capgemini Invent","Strategy","Job"
"Full Stack Engineer","PA Consulting","Unknown","Job"
"Business & Technology Consultant","Valcon","Process Management","Job"
"Senior Director | Industrials & Special Situations | Strategic Communications","FTI Consulting","Unknown","Job"
"Senior Manager | Operational Excellence | Advisory | Dublin/Cork","PwC","Unknown","Job"
"Senior Director | Analytics | Strategic Communications | London","FTI Consulting","Management","Job"
"Consultant / Senior Consultant - DevOps Architect - Business Technology (London/Manchester/Glasgow)","Capgemini Invent","IT Strategy","Job"
"PH-4762; Senior Project Manager - Sales Expansion, EMEA","B2E Consulting","Sales","Job"
"Supply Chain Manager - Advisory Consulting - Dublin","PwC","Supply Chain","Job"
"Resource Co-ordinator","PA Consulting","Unknown","Job"
"CyberArk Architect - Manager","PwC","Unknown","Job"
"Digital Workplace - Low Code No Code Consultant (London/Manchester/Glasgow)","Capgemini Invent","Digital","Job"
"Senior Consultant, Managed Document Review | Technology","FTI Consulting","IT Strategy","Job"
"Full Stack Engineer","PA Consulting","Unknown","Job"
"DevOps Engineer Consultant (London/Manchester/Glasgow)","Capgemini Invent","Software","Job"
"Senior Consultant I |Regulated Industries & Energy Markets| Economic & Financial Consulting","FTI Consulting","Unknown","Job"
"Solution Architect","PA Consulting","Unknown","Job"
"Cyber | Azure IAM architect - Senior Manager","PwC","Cyber Security","Job"
"Cloud Economics - Consultant / Senior Consultant (London/Manchester/Glasgow)","Capgemini Invent","Cloud","Job"
"Director, Export Controls & Sanctions | Forensic & Litigation Consulting","FTI Consulting","Forensic & Litigation","Job"
"SAP Implementation Lead | Senior Manager | Technology Consulting | Advisory | Dublin/Cork","PwC","IT Strategy","Job"
"GCP-Cloud Architect","PA Consulting","Unknown","Job"
"Cloud Strategy - Consultant / Senior Consultant (London/Manchester/Glasgow)","Capgemini Invent","Strategy","Job"
"Third Party Risk Management Consultant","PA Consulting","Management","Job"
"Technical Support Engineer | Technology","FTI Consulting","IT Strategy","Job"
"SAP Solution Architect | Senior Manager | Technology Consulting | Advisory | Dublin/Cork","PwC","IT Strategy","Job"
"Hardware Engineer","PA Consulting","Unknown","Job"
"Full Stack Engineer Consultant (London/Manchester/Glasgow)","Capgemini Invent","Unknown","Job"
"Finance Transformation - Senior Associate","PwC","Finance","Job"
"Revenue Accountant | Finance & Accounting | Core Operations","FTI Consulting","Finance","Job"
"Finance Transformation - Manager","PwC","Finance","Job"
